Date,High,Low,Open,Close,Volume,Adj Close
2018-03-28,14.100000381469727,12.9399995803833,13.800000190734863,13.649999618530273,1249800.0,13.649999618530273
2018-03-29,14.600000381469727,13.350000381469727,13.75,14.350000381469727,716400.0,14.350000381469727
2018-04-02,14.75,13.760000228881836,14.050000190734863,14.25,980500.0,14.25
2018-04-03,14.5,13.850000381469727,14.199999809265137,14.0,937900.0,14.0
2018-04-04,15.149999618530273,13.800000190734863,13.800000190734863,15.149999618530273,724700.0,15.149999618530273
2018-04-05,15.199999809265137,14.300000190734863,15.199999809265137,14.350000381469727,445900.0,14.350000381469727
2018-04-06,14.399999618530273,13.899999618530273,14.350000381469727,14.0,587600.0,14.0
2018-04-09,17.100000381469727,14.699999809265137,15.399999618530273,16.549999237060547,2221000.0,16.549999237060547
2018-04-10,17.899999618530273,16.049999237060547,16.75,17.75,1671600.0,17.75
2018-04-11,18.850000381469727,17.260000228881836,17.5,18.149999618530273,1848800.0,18.149999618530273
2018-04-12,19.149999618530273,18.100000381469727,18.25,19.0,1071000.0,19.0
2018-04-13,19.899999618530273,18.700000762939453,18.950000762939453,19.75,1094200.0,19.75
2018-04-16,20.25,19.15999984741211,20.149999618530273,20.100000381469727,917700.0,20.100000381469727
2018-04-17,20.149999618530273,19.1299991607666,19.75,19.299999237060547,1749400.0,19.299999237060547
2018-04-18,20.25,19.399999618530273,19.600000381469727,19.799999237060547,1194000.0,19.799999237060547
2018-04-19,20.799999237060547,19.850000381469727,19.950000762939453,20.049999237060547,1183500.0,20.049999237060547
2018-04-20,21.700000762939453,20.010000228881836,20.299999237060547,20.899999618530273,1230300.0,20.899999618530273
2018-04-23,22.0,19.75,22.0,20.0,1599700.0,20.0
2018-04-24,20.889999389648438,18.110000610351562,19.850000381469727,18.450000762939453,1393600.0,18.450000762939453
2018-04-25,18.760000228881836,17.049999237060547,18.549999237060547,17.299999237060547,1279200.0,17.299999237060547
2018-04-26,17.700000762939453,16.350000381469727,17.200000762939453,17.649999618530273,921200.0,17.649999618530273
2018-04-27,18.350000381469727,17.5,17.850000381469727,17.799999237060547,623400.0,17.799999237060547
2018-04-30,18.450000762939453,17.43000030517578,17.700000762939453,17.450000762939453,564100.0,17.450000762939453
2018-05-01,17.799999237060547,17.100000381469727,17.549999237060547,17.299999237060547,891400.0,17.299999237060547
2018-05-02,19.200000762939453,17.049999237060547,17.100000381469727,18.649999618530273,814500.0,18.649999618530273
2018-05-03,19.0,17.899999618530273,18.399999618530273,18.100000381469727,725100.0,18.100000381469727
2018-05-04,18.600000381469727,18.0,18.0,18.399999618530273,445800.0,18.399999618530273
2018-05-07,19.450000762939453,18.450000762939453,18.450000762939453,19.0,516500.0,19.0
2018-05-08,19.299999237060547,18.700000762939453,19.0,19.200000762939453,284400.0,19.200000762939453
2018-05-09,19.399999618530273,18.799999237060547,19.350000381469727,19.200000762939453,586300.0,19.200000762939453
2018-05-10,19.700000762939453,18.799999237060547,19.200000762939453,18.850000381469727,541200.0,18.850000381469727
2018-05-11,19.700000762939453,18.700000762939453,18.700000762939453,19.649999618530273,579300.0,19.649999618530273
2018-05-14,21.149999618530273,19.549999237060547,19.600000381469727,20.899999618530273,979400.0,20.899999618530273
2018-05-15,21.149999618530273,20.200000762939453,20.850000381469727,20.5,571500.0,20.5
2018-05-16,21.079999923706055,20.25,20.350000381469727,21.0,869700.0,21.0
2018-05-17,21.450000762939453,20.0,21.0,21.450000762939453,883100.0,21.450000762939453
2018-05-18,21.450000762939453,15.899999618530273,21.450000762939453,18.8799991607666,3885600.0,18.8799991607666
2018-05-21,19.149999618530273,15.550000190734863,19.149999618530273,16.020000457763672,3215100.0,16.020000457763672
2018-05-22,16.899999618530273,15.75,16.299999237060547,16.520000457763672,1292300.0,16.520000457763672
2018-05-23,17.049999237060547,16.0,16.200000762939453,16.049999237060547,851200.0,16.049999237060547
2018-05-24,16.549999237060547,16.0,16.100000381469727,16.25,639300.0,16.25
2018-05-25,17.0,16.149999618530273,16.200000762939453,16.600000381469727,1099000.0,16.600000381469727
2018-05-29,18.0,16.25,16.600000381469727,17.899999618530273,879800.0,17.899999618530273
2018-05-30,18.899999618530273,17.979999542236328,18.0,18.75,812800.0,18.75
2018-05-31,18.75,17.399999618530273,18.549999237060547,17.700000762939453,881900.0,17.700000762939453
2018-06-01,18.149999618530273,16.950000762939453,17.950000762939453,17.5,944200.0,17.5
2018-06-04,17.850000381469727,15.5,17.600000381469727,15.529999732971191,1668200.0,15.529999732971191
2018-06-05,18.350000381469727,15.800000190734863,16.0,16.600000381469727,1875900.0,16.600000381469727
2018-06-06,17.75,16.0,16.799999237060547,16.299999237060547,1457100.0,16.299999237060547
2018-06-07,16.649999618530273,15.899999618530273,16.399999618530273,16.299999237060547,812100.0,16.299999237060547
2018-06-08,17.0,16.1299991607666,16.350000381469727,16.25,745800.0,16.25
2018-06-11,16.520000457763672,15.800000190734863,16.299999237060547,15.850000381469727,603600.0,15.850000381469727
2018-06-12,16.649999618530273,15.949999809265137,15.949999809265137,16.5,678900.0,16.5
2018-06-13,16.600000381469727,15.899999618530273,16.5,16.100000381469727,637800.0,16.100000381469727
2018-06-14,16.350000381469727,15.550000190734863,16.100000381469727,15.899999618530273,850400.0,15.899999618530273
2018-06-15,16.600000381469727,15.649999618530273,15.899999618530273,16.549999237060547,2011300.0,16.549999237060547
2018-06-18,16.399999618530273,15.539999961853027,16.200000762939453,15.899999618530273,706600.0,15.899999618530273
